projectID,projectAcronym,organisationID,name,shortName,SME,activityType,city,country,nutsCode,geolocation,organizationURL,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active
101069529,SSH CENTRE,869529147,ELTE KOZGAZDASAG- ES REGIONALIS TUDOMANYI KUTATOKOZPONT,ELTE KRTK,false,REC,Budapest,HU,HU110,"47.4736696,19.0744233",,2026-04-15 15:27:43,1994266,11,participant,72631,72631,"72631,25",false,
101069644,LiCORNE,889616392,SQM SA,,false,PRC,Santiago,CL,CL,"-33.413794949999996,-70.5865420199983",,2025-10-20 17:38:03,1974462,14,associatedPartner,,0,0,false,
101046041,CoVICIS,997899432,WITS HEALTH CONSORTIUM (PTY) LTD,WHC,false,PRC,Johannesburg,ZA,ZA,"-26.205,28.049722",https://www.witshealth.co.za,2026-06-03 12:17:44,1935497,4,participant,250000,250000,250000,false,
101045989,VERDI,999554640,LES CENTRES GHESKIO,GHESKIO,false,REC,Port-Au-Prince,HT,HT,"18.547327,-72.3395928",,2026-06-03 12:18:09,2072096,12,participant,190000,190000,190000,false,
101056921,GreenFeedBack,998711419,THE UNIVERSITY OF MANITOBA,,false,HES,Manitoba,CA,CA,"55.001251,-97.001038",http://www.umanitoba.ca,2026-06-03 12:14:14,1906305,14,associatedPartner,,0,0,false,
101056921,GreenFeedBack,998297908,GRONLANDS NATURINSTITUT,,false,REC,Nuuk,GL,GL,"64.1905067,-51.6952546940986",,2026-06-03 12:14:14,1916692,13,participant,225125,225125,225125,false,
101057129,REACT,997899432,WITS HEALTH CONSORTIUM (PTY) LTD,WHC,false,PRC,Johannesburg,ZA,ZA,"-26.205,28.049722",https://www.witshealth.co.za,2026-06-03 12:09:28,1935497,10,participant,647625,647625,647625,false,
101057525,eCAP,889391546,OPERATING THEATRE PRACTITIONERS ASSOCIATION OF KENYA,,false,OTH,Nairobi,KE,KE,"-1.3031689499999999,36.826061224105075",,2026-05-08 10:00:03,1974802,6,participant,417500,417500,417500,false,
101057699,RadioVal,999633113,EIBIR GEMEINNUTZIGE GMBH ZUR FORDERUNG DER ERFORSCHUNG DER BIOMEDIZINISCHEN BILDGEBUNG,,false,REC,Wien,AT,AT130,"48.2132767,16.3693347",https://www.eibir.org,2026-06-03 16:43:52,1909591,16,participant,271875,271875,271875,false,
101059986,Net4SocietyHE,999536016,INDEPENDENT EXPERTS CONSULTING BOARD TO PROMOTE SCIENTIFIC RESEARCH ACTIVITY IN KAZAKHSTAN,InExCB-Kz,false,REC,ALMATY,KZ,KZ,"43.2363924,76.9457275",http://www.nip-kz.org,2026-06-15 15:11:04,1966909,18,participant,36062.5,36062.5,"36062,5",false,
101059986,Net4SocietyHE,892673638,PRESIDENCIA DE LA REPUBLICA,,false,PUB,MONTEVIDEO,UY,UY,"-34.9071401,-56.2004326",,2026-06-15 15:11:04,1974858,21,associatedPartner,,0,0,false,
101060393,BOLERO,922563412,FUNDACION NICAFRANCE,,false,REC,MANAGUA,NI,NI,"12.33160145,-86.40347843389236",,2026-06-03 12:20:32,3005980,8,participant,730176.25,730176.25,"730176,25",false,
101057665,PvSTATEM,986872084,Institut Pasteur de Madagascar,IPM,false,REC,Antananarivo,MG,MG,"-18.7920779,47.7823214",,2026-06-29 17:04:40,1947090,3,participant,2050509.91,2050509.91,"2050509,91",false,
101059483,BCOMING,974456472,INSTITUT PASTEUR DU CAMBODGE,IPC,false,REC,Phnom Penh,KH,KH,"11.5817572,104.9169853",http://www.pasteur-kh.org,2026-05-06 07:31:29,2013176,4,participant,545750,545750,545750,false,
101059786,VALUABLE,890066569,GLOBAL SUSTAINABLE TRANSFORMATION GST GmbH,GST,true,PRC,Dachau,DE;HU,DE217;HU312,"48.266346850000005,11.458483149999996",,2026-06-19 15:46:04,1975080,2,participant,1112859,1112859,"1589798,75",false,
101060703,BBC,906225605,ISLENSKI SJAVARKLASINN EHF,Iceland Ocean Cluster,true,PRC,Reykjavik,IS,IS001,"64.15451885,-21.94412785",,2026-03-10 10:12:39,1970713,7,participant,222500,222500,222500,false,
