case_id,query,country,city,expected_ror_id,stratum,source,notes,adjudication_status,adjudication_confidence,adjudication_basis,adjudicated_at
case-8e434bdfefa1,SERVEI ANDORRÀ D'ATENCIÓ SANITÀRIA,AD,Escaldes-Engordany,,multilingual,CORDIS:881160029,CORDIS organisationID=881160029; activityType=PUB,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-64357354108a,Technology Innovation Institute - Sole Proprietorship LLC,AE,Abu Dhabi,https://ror.org/001kv2y39,standard,CORDIS:888545027,CORDIS organisationID=888545027; shortName=Technology Innovation Institute - Sole Proprietorship LLC; activityType=PRC,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-050529721176,BILIM ORGANIZATION FOR RESEARCH AND SOCIAL STUDIES,AF,KABUL,,standard,CORDIS:887157636,CORDIS organisationID=887157636; shortName=Bilim Organization for Research and Social Studies; activityType=REC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-de1e90daeda6,LADAR LIMITED,AI,The Valley,,short_name,CORDIS:929987501,CORDIS organisationID=929987501; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-3484ce55566c,QENDREN NDERINSTITUCIONALE TE RRJETI AKADEMIK SHQIPTAR,AL,TIRANA,,standard,CORDIS:931545612,CORDIS organisationID=931545612; shortName=RASH - ACADEMIC NETWORK OF ALBANIA; activityType=REC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-afbfe64ffc00,Educational Complex of the Ministry of Internal Affairs of the Republic of Armenia,AM,Yerevan,,standard,CORDIS:870889184,CORDIS organisationID=870889184; shortName=MIA Educational Complex; activityType=HES,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-f80724608560,UNIVERSIDADE DO NAMIBE,AO,Mocamedes,,standard,CORDIS:887482392,CORDIS organisationID=887482392; activityType=HES,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-20f403e9ab06,INSTITUTO DE INVESTIGACIONES EN CIENCIA Y TECNOLOGIA DE MATERIALES,AR,Mar Del Plata,https://ror.org/034s8ev31,standard,CORDIS:998459413,CORDIS organisationID=998459413; shortName=INTEMA; activityType=REC,match,high,Official ROR name search and the pinned v2.8 dump identify the same-country record.,2026-07-17
case-eccb355dc9c8,OPEN KNOWLEDGE MAPS - VEREIN ZUR FORDERUNG DER SICHTBARKEIT WISSENSCHAFTLICHEN WISSENS,AT,WIEN,,standard,CORDIS:911513657,CORDIS organisationID=911513657; activityType=REC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-071705c84d97,INNOVATIVE DRONE SOLUTIONS PTY LTD,AU,Gold Coast,,standard,CORDIS:882980525,CORDIS organisationID=882980525; shortName=Sixarms; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-4ae2b8a871c3,Stichting Monumentenfonds Aruba,AW,oranjestad,,standard,CORDIS:875447796,CORDIS organisationID=875447796; shortName=Stichting MonumentenfondsAruba; activityType=OTH,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-8c62a839831a,ADA UNIVERSITETI,AZ,Baku,https://ror.org/053ez2v94,short_name,CORDIS:907328495,CORDIS organisationID=907328495; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-08a516e61678,VISOKOSKOLSKA USTANOVA INTERNACIONALNI BURC UNIVERZITET-INTERNATIONAL BURCH UNIVERSITY,BA,Sarajevo,https://ror.org/040cm8d21,standard,CORDIS:949759496,CORDIS organisationID=949759496; shortName=International Burch University; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-9d6e2cbff5f0,BRAC UNIVERSITY,BD,Dhaka,https://ror.org/00sge8677,short_name,CORDIS:955450486,CORDIS organisationID=955450486; shortName=BRACU; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-b4f90e172a0d,ZAZ VENTURES,BE,TOURNAI,,short_name,CORDIS:950322193,CORDIS organisationID=950322193; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-04c4f7ad223c,CONFEDERATION PAYSANNE DU FASO,BF,Ouagadougou,,standard,CORDIS:903761708,CORDIS organisationID=903761708; shortName=CONFEDERATION PAYSANNE DU FASO; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-041573c9b1de,EVROPEYSKI INSTITUT PO ZDRAVEOPAZVANE,BG,SOFIA,,standard,CORDIS:875564875,CORDIS organisationID=875564875; shortName=EUROPEAN HEALTH INSTITUTE ASSOCIATION; activityType=REC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-acdba8bc6ecc,INSTITUT NATIONAL DE SANTE PUBLIQUE,BI,Bujumbura,https://ror.org/042sjvf54,standard,CORDIS:883987579,CORDIS organisationID=883987579; shortName=NATIONAL PUBLIC HEALTH INSTITUTE INSP; activityType=HES,match,high,Official ROR name search and the pinned v2.8 dump identify the same-country record.,2026-07-17
case-8e95a5535a15,INSTITUT REGIONAL DE SANTE PUBLIQUE COMLAN ALFRED QUENUM DE OUIDAH,BJ,OUIDAH,https://ror.org/03tbncn87,standard,CORDIS:989707976,CORDIS organisationID=989707976; shortName=IRSP-CAQ; activityType=HES,match,high,"Official ROR aliases include the full Comlan Alfred Quenum name; country, city and website agree.",2026-07-17
case-1a6db0ea2541,Fundacion Amigos de la Naturaleza,BO,Montero,,standard,CORDIS:914349549,CORDIS organisationID=914349549; shortName=FUNDACION AMIGOS DE LA NATURALEZA; activityType=OTH,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-57d30c372109,COOPERATIE WOLFS COMPANY UA,BQ,Kralendijk,,standard,CORDIS:918059508,CORDIS organisationID=918059508; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-311a7002659e,AGENCIA DE ATRAÇÃO DE INVESTIMENTOS ESTRATEGICOS DO PIAUI S/A,BR,Teresina,,multilingual,CORDIS:882353129,CORDIS organisationID=882353129; shortName=INVESTE PIAUÍ; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-e09841bc4c00,ROYAL THIMPHU COLLEGE,BT,Thimphu,,standard,CORDIS:923324474,CORDIS organisationID=923324474; shortName=ROYAL THIMPHU COLLEGE; activityType=HES,no_match,high,No Bhutan ROR record found; the API-selected Royal Ottawa Health Care Group is a Canadian false positive.,2026-07-17
case-2c7d1d783c35,BOTSWANA MEDICINES REGULATORY AUTHORITY,BW,Gaborone,,standard,CORDIS:885354503,CORDIS organisationID=885354503; activityType=PUB,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-553d5c1f5ac5,HEALTHY REEFS FOR HEALTHY PEOPLE BELIZE LTD,BZ,LORD'S BANK,,standard,CORDIS:869372783,CORDIS organisationID=869372783; shortName=Healthy Reefs for Healthy People; activityType=OTH,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-c40b15aa2d59,Registered Nurses Association of Ontario,CA,Toronto,https://ror.org/00w33ze35,standard,CORDIS:889726390,CORDIS organisationID=889726390; shortName=Registered Nurses' Association of Ontario; activityType=OTH,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-51c325fc6ceb,ASSOCIATION PAYSANNE POUR LE DEVELOPPEMENT INTEGRE AU SUD-KIVU,CD,CYANGUNGU RWANDA,,standard,CORDIS:888242484,CORDIS organisationID=888242484; activityType=OTH,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-a03570dd789b,INSTITUT CENTRAFRICAIN DE RECHERCHE AGRONOMIQUE,CF,BANGUI,,standard,CORDIS:873539418,CORDIS organisationID=873539418; activityType=PUB,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-08e426a463db,FONDATION CONGOLAISE POUR LA RECHERCHE MEDICALE,CG,BRAZZAVILLE,https://ror.org/023f4f524,standard,CORDIS:892581488,CORDIS organisationID=892581488; activityType=OTH,match,high,Official ROR name search and the pinned v2.8 dump identify the same-country record.,2026-07-17
case-faefe55dc328,Stadt Dietikon,CH,Dietikon,,short_name,CORDIS:876456790,CORDIS organisationID=876456790; shortName=Stadt Dietikon; activityType=PUB,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-f75228608552,ALTERNATIVE COMMUNAUTAIRE POUR LE DEVELOPPEMENT DURABLE (ACDD),CI,BOUAKE,,standard,CORDIS:892961728,CORDIS organisationID=892961728; activityType=OTH,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-c4034ea03d83,UNIVERSIDAD ANDRES BELLO,CL,Santiago,https://ror.org/01qq57711,standard,CORDIS:969073360,CORDIS organisationID=969073360; shortName=UNAB; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-3ea4c7b4bf79,CAMEROON FORUM FOR AGRICULTURAL ADVISORY SERVICES (CAMFAAS),CM,Yaounde,,standard,CORDIS:889396590,CORDIS organisationID=889396590; shortName=CAMFAAS; activityType=OTH,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-f136b29a1df3,Hangzhou City University,CN,Hangzhou,https://ror.org/01wck0s05,standard,CORDIS:879662155,CORDIS organisationID=879662155; shortName=Hangzhou City University; activityType=PUB,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-6f5c4aae08bd,MINISTERIO DE  CIENCIA TECNOLOGIA E  INNOVACION MINCIENCIAS,CO,Bogota,https://ror.org/03fd5ne08,standard,CORDIS:950832122,CORDIS organisationID=950832122; activityType=PUB,match,high,MinCiencias is the official short name; Colombian country and official website agree.,2026-07-17
