country,activity_type,organization_count,cordis_project_participations,cordis_ec_contribution,openalex_works_count_period,openalex_cited_by_count_period
AE,HES,1,2,0.0,20597,256516
AR,REC,2,2,0.0,1155,8853
AU,HES,1,10,0.0,36674,372381
BD,HES,2,2,89485.0,6961,45960
BI,HES,1,4,1216487.53,0,0
BI,PUB,1,1,248750.0,132,252
BJ,HES,1,2,568759.38,0,0
BJ,PUB,1,1,0.0,1400,706
BR,PUB,1,1,0.0,1294,2440
BT,REC,1,1,207445.0,413,2695
BW,REC,1,1,0.0,0,0
CA,HES,1,9,100012.5,31153,276847
CA,OTH,1,1,0.0,190,1105
CF,OTH,1,2,0.0,259,3876
CG,OTH,1,6,7745738.84,387,4616
CG,PRC,1,1,0.0,2478,6759
CL,HES,1,3,0.0,9053,71509
CN,PUB,1,1,0.0,3073,22517
CO,PUB,1,1,20812.5,0,0
CU,HES,1,1,0.0,824,1255
CY,PUB,1,4,606250.0,2,0
CZ,PUB,1,1,52500.0,29,13
DK,PRC,1,2,1198843.0,96,208
DO,HES,1,1,0.0,860,4172
DZ,HES,1,1,0.0,1269,4162
EC,OTH,1,1,0.0,1232,2544
EG,PRC,1,2,351415.0,2,0
ES,REC,1,1,386250.0,212,2290
ET,HES,1,1,676500.0,11330,73930
FI,HES,1,2,663212.0,974,3591
FJ,HES,1,3,237000.22,2099,21011
GA,HES,1,2,150858.0,699,2428
GH,OTH,1,6,3474431.36,0,0
GI,HES,1,1,0.0,428,5060
GM,OTH,1,1,136875.0,0,0
GQ,HES,1,1,0.0,183,1613
GT,HES,1,1,270000.0,1251,3735
GU,PUB,1,2,0.0,1354,4665
HK,HES,1,4,0.0,36116,511588
HK,PRC,1,1,0.0,92910,1126497
HU,REC,1,9,1452512.92,1139,6078
ID,HES,1,2,0.0,5356,5063
IQ,HES,1,1,0.0,3027,26978
IR,REC,1,1,0.0,3710,30911
JM,HES,1,3,0.0,1257,9733
JO,HES,1,2,0.0,13428,89455
JO,REC,1,1,87250.0,7804,59800
JP,OTH,1,3,0.0,8756,62025
JP,REC,1,1,0.0,5656,60825
KE,HES,1,1,175371.0,520,1257
KH,HES,1,1,0.0,695,2062
KH,REC,1,3,1383487.5,906,4909
KR,PRC,1,1,471800.0,0,0
KR,PUB,1,1,0.0,7637,65575
KW,HES,1,1,0.0,1916,13176
KZ,REC,1,1,36062.5,111,177
LA,HES,1,1,0.0,1699,5054
LI,PRC,1,3,0.0,568,1498
LI,REC,1,1,0.0,86,292
LK,HES,1,1,0.0,5855,38039
LK,REC,1,1,665067.5,823,9095
LY,HES,1,1,4890.0,1325,8242
MA,HES,1,3,141875.0,28369,135714
MC,REC,1,2,0.0,1018,17705
MD,OTH,1,2,399351.0,4,1
MG,REC,2,8,3173966.16,1629,8252
ML,HES,1,14,15997589.04,2743,8600
ML,REC,1,1,59062.5,336,725
MN,HES,2,2,0.0,4339,14284
MO,HES,1,2,0.0,26951,344474
MP,OTH,1,1,0.0,32,46
MR,HES,1,2,36968.75,810,4367
MU,REC,1,1,146625.0,66,437
MW,HES,1,2,577055.61,1066,4908
MX,HES,2,3,282812.5,23971,82415
MY,HES,2,8,417687.5,76437,431505
MZ,PUB,1,2,506661.25,553,5657
NA,HES,1,1,112270.0,2049,11689
NC,REC,1,1,2518.0,140,789
NG,HES,1,1,314107.5,2648,8600
NZ,HES,1,11,1759385.81,13703,115263
PE,HES,1,1,154200.0,6733,28818
PF,HES,1,1,55200.0,1842,10198
PG,HES,1,1,0.0,698,3733
PH,PRC,1,1,0.0,4686,8394
PL,HES,1,32,6622849.87,10472,117826
PS,HES,1,1,0.0,1579,17394
PY,HES,1,2,0.0,4656,13549
QA,HES,1,1,0.0,9323,118576
SA,PRC,1,1,0.0,18359,173571
SB,HES,1,1,140850.0,63,377
SG,HES,1,1,0.0,8189,71156
SL,HES,1,4,1071018.01,2113,12068
SO,REC,1,1,306375.0,0,0
SR,HES,1,1,148135.0,577,1951
SS,PUB,1,1,0.0,1154,3895
SV,HES,1,1,0.0,2021,3255
SZ,PUB,1,1,93022.5,302,2020
TJ,HES,1,3,0.0,128,47
TW,HES,1,6,48120.0,46501,409813
TZ,REC,1,1,198157.5,828,3202
UG,REC,1,3,1734327.76,481,3008
VE,HES,1,1,62025.0,1747,2753
XK,REC,1,2,286200.0,4,25
ZA,PRC,1,11,6769281.36,0,0
